date,year,month,quarter
2024-01-01,2024,January,Q1
2024-02-01,2024,February,Q1
2024-03-01,2024,March,Q1
2024-04-01,2024,April,Q2
2024-05-01,2024,May,Q2
2024-06-01,2024,June,Q2
2024-07-01,2024,July,Q3
2024-08-01,2024,August,Q3
2024-09-01,2024,September,Q3
2024-10-01,2024,October,Q4
2024-11-01,2024,November,Q4
2024-12-01,2024,December,Q4
2025-01-01,2025,January,Q1
2025-02-01,2025,February,Q1
2025-03-01,2025,March,Q1
2025-04-01,2025,April,Q2
2025-05-01,2025,May,Q2
2025-06-01,2025,June,Q2
2025-07-01,2025,July,Q3
2025-08-01,2025,August,Q3
2025-09-01,2025,September,Q3
2025-10-01,2025,October,Q4
2025-11-01,2025,November,Q4
2025-12-01,2025,December,Q4
